uid,sags_id,page_id,link,text_data,emner,sags_register_refs
707,87-1890,18690603_37-2,https://storage.googleapis.com/openaws-webonly/18690603_37.pdf#page=2,"Efter Indstilling fra Markdirectionen vedtog man at overlade Proprietair Faurschou i Brendstrup den til hans Eiendom stødende Deel af Udmarksdiget omkring Byens Jorder syd for Gjennemskjæringen ved Brenstrupveien, tilligemed den mellem Diget og Veien liggende Jordstrimmel, for 43 Rdl. 7 Sk. (d. e. 300 Rdl. pr. Tønde Land), dog med Forpligtelse for Hr. Faurschou til uden Godtgjørelse at afgive den fornødne",#Jorder.~Salg og Afstaaelse af Grunde,"1869:15,16,21,22,25,32,34,38,40,52,57. side: 254#1869:38,43,46,52. side: 269#1869:38, side: 269#1869:15,22,23,26,30,38,41,52. side: 340#1869:15,22,23,26,30,38,41,44,46,46,49,82,122, side: 341#1869:35,38. side: 417#1869:16,38,179, side: 463"
708,87-1890,18690603_37-3,https://storage.googleapis.com/openaws-webonly/18690603_37.pdf#page=3,"Jord, saafremt det maatte være fornødent i sin Tid at udvide Veien.",,"1869:39. side: 159#1869:39. side: 186#1869:39. side: 226#1869:39. side: 355#1869:39,44. side: 355#1869:39. side: 509#1869:39. side: 551"
11768,1-1890,18900102_13-3,https://storage.googleapis.com/openaws-webonly/18900102_13.pdf#page=3,"Man overdrog det til Udvalget for Valglisters Affattelse at træffe de fornødne Foranstaltninger til Foretagelsen af de til den 1ste Februar d. A. forestaaende almindelige Folketælling her i Byen, se Indenrigsministeriets cirkulære Nr. 250 af 5te November 1889 i Ministerialtidende A Side 291. (Se Mødet den 13de Februar.)",#Folketælling.,"1890.15. side: 86#1890:15,35. side: 108#1890:15, side: 456#1890:15. side: 457#1890:15,36. side: 523#1890:15. side: 546"
11769,2-1890,18900102_13-3,https://storage.googleapis.com/openaws-webonly/18900102_13.pdf#page=3,"Formanden meddelte, at Overlæge Dr. med. Dahlerup overfor ham mundtlig har fremsat Tilbud om uden Vederlag at holde en gratis Øjenklinik for ubemidlede, naar Lokale stilles til hans Raaadighed af Byraadet.
Man modtag med Tak Overlæge Dahlerups Tilbud og anviste som Lokale Børneklinikken i Ryesgade, som for Tiden kun 2 Gange om Ugen er i Brug som saadan. Kommunen foranstalter endvidere Lokalerner opvarmede, naar de skulle bruges til Øjenklinikken, og betaler, ligesom det er Tilfældet med Børneklinikken, en Fjerdedel af de af Lægen der foreskrevne Medikamenter samt anskaffer de Lægemidler, som Lægen har Brug for til Anvendelse paa selve Stedet. (Se Mødet den 13de Febr.)",Børn.~Børneklinik.#Sundhedsvæsen.~Sundhedsvæsen i Almindelighed.,"1890.15. side: 86#1890:15,35. side: 108#1890:15, side: 456#1890:15. side: 457#1890:15,36. side: 523#1890:15. side: 546"
11771,3-1890,18900106_15-1,https://storage.googleapis.com/openaws-webonly/18900106_15.pdf#page=1,"Til Medlemmer af Valgbestyrelsen i Aarhus Amts 2den Valgkreds ved det ved kgl. aabent Brev af 3dje januar 1890 til den 21de d. M. udskrevne almindelige Valg til Rigsdagens Folkething valgtes formanden, Meden, Jensen, Broue, Mønsted, Fenger, Ørum,Meulengracht, Meyer, Schwenn, D. Langballe, Halling, Ramsing, A. Langballe, Andersen, Svendsen og Kruse.",#Rigsdagsvalg.~Rigsdagsvalg.#Rigsdagsvalg.~Valgbestyrelse.,"1890.15. side: 86#1890:15,35. side: 108#1890:15, side: 456#1890:15. side: 457#1890:15,36. side: 523#1890:15. side: 546"
11772,25-1890,18900106_15-1,https://storage.googleapis.com/openaws-webonly/18900106_15.pdf#page=1,"Efter derom fremsat Begjæring blev Udvalget for Sygehuset bemyndiget til at anskaffe nogle Kakkelovne m. m. til samt foretage nogle Istandsættelser af Lægens Lejlighed i Sygehuset, hvortil Udgiften af Udvalget var anslaaet til ca. 400 Kr. Herved bemærkes dog, at da Byraadet anbefalede, at Kakkelovne og Komfur anskaffes af en saadan Beskaffenhed, at de kunne anvendes i det nye Sygehus, vil det nævnte Beløb mulig ikke være tilstrækkeligt.",#Sygehuse.~Kommunens Sygehus (Kommunehospitalet).,"1890.15. side: 86#1890:15,35. side: 108#1890:15, side: 456#1890:15. side: 457#1890:15,36. side: 523#1890:15. side: 546"
11791,4-1890,18900116_16-6,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=6,"Fra Gartner R. N. Boisen forelaa der et Andragende om Erstatning for Skade, tilføjet den af ham dyrkede Jordlod ved dennes Gjennemskjæring i Anledning af det ny Boulervardanlæg fra Fodfolksetablissementet til Brendstrupvejen, men da Udvalget for Brolægningsvæsenet havde oplyst, at det Jordstykke, hvorfra der er taget en Strimmel Areal til den ny Boulevard, er udlejet af Kommunen til Kommerceraad Gerdes, der saaledes alene kan være berettiget til desangaaende at fremkomme med Erstatninspaastande, fandt Byraadet det fremkomne Andragende sig uvedkommende. (Se Mødet den 30te Januar.)",#Jorder.~Leje af Jordlodder og Grunde.,"1890:21. side: 28#1890:21. side: 197#1890:21,29,53,101. side: 295#1890:21. side: 459"
11792,5-1890,18900116_16-6,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=6,Et fra Arbejdsmand Frederik Jensen fremkommet Andragende om Tilladelse til at opstille en Kraftprøve,#Riis Skov.~Ferdinandpladsen,"1890:21. side: 28#1890:21. side: 197#1890:21,29,53,101. side: 295#1890:21. side: 459"
11793,5-1890,18900116_16-7,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=7,"paa Ferdinandspladsen i Ris Skov fandt Byraadet ikke Anledning til at bevilge, da der allerede er opstillet 2 Kraftprøver paa Ferdinandspladsen  af de hidtidige Lejere og der ikke haves nogen Plads til en tredje.",,"1890:20,22,34,49,162. side: 163#1890:22. side: 496#1890:22. side: 496#1890:22,36, side: 540"
11794,6-1890,18900116_16-7,https://storage.googleapis.com/openaws-webonly/18900116_16.pdf#page=7,"Et fra Chr. Jensen som Ejer af Hjørneejendommen, Jægergaardsvej Nr. 80 og Bülowsgade Nr. 1 fremkommet Andragende om, at der maatte blive ham Henstand i 10 i Stedet for som Bestemmelsen er i 5 aar,med Udredelsen af det han til Bülowsgadens Brolægning paahvilede Bidrag af 468 Kr. 88 Øre paa Grund af, at han skal udrede Brolægningsbidrag til begge de Gader, hvortil Ejendommen har Facade, fandt Byraadet ikke Anledning til at bevilge, da Udvalget for Brolægningsvæsenet havde oplyst, at Bülowsgades Brolægning er udført i Følge Anmodning fra Grundejere paa Betingelse af, at Betalingen afdrages i 5 Aar. (Se Sag 483/89 S. 20.)",Gader.~Brolægning og Brolægningsbidrag (jfr. Nr. 15: Vedligeholdelse og Tilsyn).,"1890:20,22,34,49,162. side: 163#1890:22. side: 496#1890:22. side: 496#1890:22,36, side: 540"
